iter	RMSE
485	1713.447778
486	1712.98625
487	1712.552603
488	1712.136628
489	1711.506494
490	1710.600619
491	1709.949234
492	1709.391677
493	1707.73043
494	1707.314155
495	1706.24909
496	1705.64656
497	1705.135677
498	1704.657712
499	1704.170416
